Time [s],PID,Address,Endpoint,Frame #,Data,CRC
2.676850790000000,SETUP,0x00,0x00,,,0x02
2.676878210000000,DATA0,,,,0x80 0x06 0x00 0x01 0x00 0x00 0x40 0x00,0x94DD
2.676947440000000,ACK,,,,,
2.677849920000000,IN,0x00,0x00,,,0x02
2.677875780000000,DATA1,,,,0x12 0x01 0x10 0x01 0x00 0x00 0x00 0x08,0x7711
2.677945440000000,ACK,,,,,
2.678849980000000,IN,0x00,0x00,,,0x02
2.678875770000000,DATA0,,,,0xB4 0x04 0x01 0x01 0x01 0x00 0x01 0x02,0x0F4D
2.678945330000000,ACK,,,,,
2.679850700000000,IN,0x00,0x00,,,0x02
2.679876420000000,DATA1,,,,0x00 0x01,0x8F3F
2.679914870000000,ACK,,,,,
2.680866840000000,OUT,0x00,0x00,,,0x02
2.680894260000000,DATA1,,,,,0x0000
2.680920690000000,ACK,,,,,
2.733858260000000,SETUP,0x00,0x00,,,0x02
2.733885680000000,DATA0,,,,0x00 0x05 0x02 0x00 0x00 0x00 0x00 0x00,0x16EB
2.733954860000000,ACK,,,,,
2.734858150000000,IN,0x00,0x00,,,0x02
2.734884030000000,DATA1,,,,,0x0000
2.734911150000000,ACK,,,,,
2.763862910000000,SETUP,0x02,0x00,,,0x15
2.763890330000000,DATA0,,,,0x80 0x06 0x00 0x01 0x00 0x00 0x12 0x00,0xF4E0
2.763959470000000,ACK,,,,,
2.764861710000000,IN,0x02,0x00,,,0x15
2.764887640000000,DATA1,,,,0x12 0x01 0x10 0x01 0x00 0x00 0x00 0x08,0x7711
2.764957220000000,ACK,,,,,
2.765862100000000,IN,0x02,0x00,,,0x15
2.765887960000000,DATA0,,,,0xB4 0x04 0x01 0x01 0x01 0x00 0x01 0x02,0x0F4D
2.765957610000000,ACK,,,,,
2.766862400000000,IN,0x02,0x00,,,0x15
2.766888280000000,DATA1,,,,0x00 0x01,0x8F3F
2.766926740000000,ACK,,,,,
2.767862120000000,OUT,0x02,0x00,,,0x15
2.767889540000000,DATA1,,,,,0x0000
2.767915960000000,ACK,,,,,
2.769863060000000,SETUP,0x02,0x00,,,0x15
2.769890480000000,DATA0,,,,0x80 0x06 0x00 0x02 0x00 0x00 0xFF 0x00,0xA4E9
2.769960230000000,ACK,,,,,
2.770862610000000,IN,0x02,0x00,,,0x15
2.770888400000000,DATA1,,,,0x09 0x02 0x3B 0x00 0x02 0x01 0x04 0xA0,0x150A
2.770957950000000,ACK,,,,,
2.771862580000000,IN,0x02,0x00,,,0x15
2.771888390000000,DATA0,,,,0x1E 0x09 0x04 0x00 0x00 0x01 0x03 0x01,0x0037
2.771957920000000,ACK,,,,,
2.772862630000000,IN,0x02,0x00,,,0x15
2.772888540000000,DATA1,,,,0x01 0x05 0x09 0x21 0x00 0x01 0x00 0x01,0xA607
2.772958140000000,ACK,,,,,
2.773862850000000,IN,0x02,0x00,,,0x15
2.773888690000000,DATA0,,,,0x22 0x41 0x00 0x07 0x05 0x81 0x03 0x08,0x2389
2.773958360000000,ACK,,,,,
2.774862730000000,IN,0x02,0x00,,,0x15
2.774888510000000,DATA1,,,,0x00 0x0A 0x09 0x04 0x01 0x00 0x01 0x03,0xC0A4
2.774958080000000,ACK,,,,,
2.775862870000000,IN,0x02,0x00,,,0x15
2.775888660000000,DATA0,,,,0x01 0x02 0x06 0x09 0x21 0x00 0x01 0x00,0x338A
2.775958210000000,ACK,,,,,
2.776879590000000,IN,0x02,0x00,,,0x15
2.776905400000000,DATA1,,,,0x01 0x22 0x4E 0x00 0x07 0x05 0x82 0x03,0x0042
2.776974930000000,ACK,,,,,
2.777863890000000,IN,0x02,0x00,,,0x15
2.777889800000000,DATA0,,,,0x05 0x00 0x0A,0x391E
2.777932900000000,ACK,,,,,
2.779864240000000,OUT,0x02,0x00,,,0x15
2.779891670000000,DATA1,,,,,0x0000
2.779918140000000,ACK,,,,,
2.781865010000000,SETUP,0x02,0x00,,,0x15
2.781892440000000,DATA0,,,,0x80 0x06 0x00 0x03 0x00 0x00 0xFF 0x00,0x64D4
2.781962230000000,ACK,,,,,
2.782864070000000,IN,0x02,0x00,,,0x15
2.782889910000000,DATA1,,,,0x04 0x03 0x09 0x04,0x7809
2.782938240000000,ACK,,,,,
2.784880840000000,OUT,0x02,0x00,,,0x15
2.784908260000000,DATA1,,,,,0x0000
2.784934830000000,ACK,,,,,
2.786866030000000,SETUP,0x02,0x00,,,0x15
2.786893450000000,DATA0,,,,0x80 0x06 0x02 0x03 0x09 0x04 0xFF 0x00,0xDB97
2.786963170000000,ACK,,,,,
2.787864490000000,IN,0x02,0x00,,,0x15
2.787890340000000,DATA1,,,,0x1E 0x03 0x53 0x00 0x74 0x00 0x65 0x00,0xB730
2.787960010000000,ACK,,,,,
2.788864380000000,IN,0x02,0x00,,,0x15
